,B02_2,B07_5,B06_1,A02_4,A01_22,A06_2,A11_1,A02_6,A12_2,A08_4,B05_2,A04_1,A03_1,A05_2,B04_1,A01_20,A07_1,A05_1,B01_5,A02_2,A14_2,A08_1,A14_4,B07_4,B03_4,A10_3,A09_4,A09_9,B03_1,B04_5,B02_3,B01_1,A06_5,A01_6,A05_3,A04_3,A01_2,A04_4,B06_5,A01_18,A08_5,A01_4,A01_17,A01_21,A11_5,B05_5,A09_5,A13_1,A11_4,A01_10,B05_1,A10_1,A01_13,A08_6,A11_2,A02_5,A09_1,A01_3,B02_4,A01_5,A01_7,A08_3,B04_3,B04_4,A13_2,B01_3,A06_6,B05_4,A02_7,B07_2,B02_5,A06_1,A14_3,B05_3,B06_2,A14_1,A09_8,B01_2,B02_1,A12_3,A09_3,A06_4,A01_8,A03_2,A09_6,B07_1,A09_7,A02_3,A09_2,A01_19,A0_1,B01_4,B03_2,A01_1,B06_4,A08_2,A01_14,A01_23,A0_3,B07_3,A06_3,A01_12,A11_3,A01_24,A10_2,A04_2,B04_2,A01_9,B03_3,A04_5,B06_3,B03_5,A10_4,A02_1,A08_7,A10_5,A12_1
A01_1,101,87,0,26,0,4,76,0,39,50,0,0,220,137,1,0,220,37,70,64,0,141,215,54,186,144,8,1,28,112,140,1,0,0,48,24,0,82,87,0,144,0,0,0,0,5,2,194,0,0,1,7,0,13,108,8,211,0,183,0,0,126,59,34,26,40,6,132,3,24,139,210,3,83,18,2,4,2,191,9,117,0,0,220,0,11,13,20,7,0,219,107,53,0,64,19,0,0,1,47,2,0,40,1,58,3,17,0,99,111,54,154,11,100,1,1,173
A01_10,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,3,2,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,2,0,0,2,1,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,0,0,0,3,1,1,0,3,0,3,1,0,3,0,0,3
A01_12,12,15,1,7,0,0,16,2,6,2,0,1,27,12,0,0,27,7,11,3,1,16,26,3,21,14,3,0,2,17,16,0,0,0,8,4,0,11,10,0,19,1,0,0,0,1,0,23,0,0,0,2,0,3,9,4,23,0,23,0,0,13,4,2,4,5,0,18,0,3,15,26,0,8,4,0,4,1,23,2,17,0,0,27,1,3,4,5,1,0,27,10,7,0,6,4,0,0,0,3,1,0,2,0,9,3,4,0,9,8,6,15,2,6,0,0,19
A01_13,18,16,0,12,0,1,7,5,6,9,0,0,38,25,0,0,38,10,13,2,0,17,37,3,33,19,2,0,6,20,28,0,0,0,4,15,0,18,16,0,33,0,0,0,0,0,1,34,0,0,0,1,0,6,27,3,35,0,37,1,0,24,10,5,6,7,3,26,0,3,26,34,1,13,2,0,3,1,33,4,20,0,0,38,0,2,3,1,6,0,38,17,12,0,8,2,0,0,0,15,0,0,4,0,14,3,4,0,18,2,13,31,5,15,0,0,28
A01_14,10,12,0,1,0,0,9,3,3,4,0,0,26,16,0,0,26,8,7,17,0,13,25,7,22,17,0,0,3,11,16,1,0,0,2,4,0,10,9,0,23,0,0,0,0,1,0,26,0,0,0,2,0,0,10,2,18,0,22,0,0,11,9,1,0,8,1,13,0,4,19,24,0,12,1,1,8,1,19,2,16,0,0,26,1,1,5,2,1,0,26,9,5,0,12,0,0,0,0,2,1,0,7,0,4,1,5,0,8,11,4,19,2,1,0,1,21
A01_17,7,5,0,3,0,0,9,0,3,4,0,0,16,10,1,0,16,2,7,1,0,10,16,3,15,4,3,0,2,3,8,0,0,0,4,2,0,10,8,0,13,0,0,0,0,0,1,15,0,0,0,2,0,1,5,2,16,0,13,0,0,9,2,8,1,3,1,9,1,3,11,15,0,7,0,0,1,0,14,0,9,0,0,16,0,1,0,2,1,0,16,6,3,0,6,3,0,0,0,4,0,0,2,0,8,0,2,0,10,4,2,13,2,7,0,0,13
A01_18,2,2,0,0,0,0,0,1,0,1,0,0,4,2,0,0,4,0,2,0,0,2,3,1,4,1,1,0,0,3,3,0,0,0,2,1,0,2,2,0,4,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,3,0,3,0,0,1,0,1,0,1,0,2,1,0,4,4,0,2,0,1,3,1,4,1,3,0,0,4,0,0,0,0,0,0,4,0,1,0,1,2,0,0,0,1,0,0,2,0,1,0,0,0,1,1,1,4,1,0,0,1,3
A01_19,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
A01_2,59,50,1,29,0,0,37,6,22,22,1,0,119,69,1,0,119,28,64,38,0,83,118,26,108,67,6,0,15,60,86,0,0,0,22,17,0,42,46,0,88,0,0,0,0,4,3,107,3,0,0,5,0,5,53,11,112,0,102,0,0,63,34,18,12,15,3,72,1,15,83,115,0,43,6,1,8,0,109,4,61,0,0,119,2,3,6,17,4,0,119,40,34,0,41,10,0,0,0,26,1,0,26,0,31,3,8,0,61,57,27,92,13,18,0,3,93
A01_20,1,0,0,0,0,0,4,0,0,2,0,3,4,0,0,0,4,2,1,1,0,2,4,0,3,1,0,2,1,1,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,3,3,1,1,4,0,1,1,0,0,0,4,0,1,0,0,4,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,3,0,3,1,0,0,0,0,4
A01_21,83,68,1,5,0,5,70,2,24,35,3,11,177,121,1,0,177,15,40,7,6,121,164,36,142,71,14,7,25,82,108,3,0,0,42,51,0,68,57,0,108,1,0,0,0,5,1,156,2,0,0,26,0,13,91,2,55,0,141,1,0,89,52,28,21,31,13,102,123,31,111,161,2,70,18,5,14,13,150,10,112,0,1,177,2,6,20,2,51,0,177,90,47,0,42,8,0,0,0,39,0,0,17,2,71,36,17,0,78,11,60,118,9,37,0,2,144
A01_22,18,14,0,0,0,0,17,0,3,5,0,1,30,5,1,0,30,15,19,2,1,23,29,9,25,9,5,1,6,18,21,0,0,0,10,7,0,19,13,0,14,0,0,0,0,1,1,27,0,0,0,12,0,2,9,0,16,0,25,0,0,13,3,2,3,1,3,16,15,2,19,27,0,13,4,0,4,0,28,1,16,0,0,30,0,1,1,1,2,0,30,10,8,0,8,1,0,0,0,4,0,0,4,0,7,0,6,0,14,3,5,21,2,12,0,0,26
A01_23,8,5,0,1,0,1,4,11,4,3,0,1,17,13,0,0,17,1,3,1,0,11,15,3,15,7,1,1,2,13,10,0,0,0,3,4,0,4,5,0,13,0,0,0,1,1,1,17,0,0,0,1,0,2,8,0,7,0,15,0,0,12,3,0,0,3,0,5,3,2,12,16,1,11,1,1,9,1,17,2,11,0,0,17,0,1,4,1,2,0,17,10,1,0,7,2,0,0,0,6,0,0,4,0,6,6,1,0,7,2,4,14,2,0,0,1,11
A01_24,32,23,0,4,0,2,35,4,7,12,0,2,69,27,2,0,69,27,38,11,0,43,68,17,59,25,3,4,10,27,38,2,0,0,16,12,0,32,18,0,47,0,0,2,2,1,0,61,0,0,0,15,0,5,22,4,58,0,54,0,0,41,21,10,9,8,5,39,21,10,45,61,1,31,10,0,7,0,61,3,33,0,0,69,2,4,3,6,5,0,69,21,19,1,25,6,0,0,0,16,1,0,13,0,25,9,11,0,38,14,17,48,3,20,0,2,60
A01_3,92,82,1,44,0,1,47,0,26,46,0,0,178,107,2,0,178,38,94,45,0,113,178,38,152,112,8,0,42,100,115,1,0,0,33,30,0,85,72,0,115,0,0,0,0,8,1,169,2,0,2,6,0,17,89,6,173,0,152,1,0,90,46,18,9,15,8,126,1,21,131,168,0,45,13,0,2,1,148,11,92,0,0,178,3,9,6,1,6,0,178,68,61,0,55,12,0,0,0,31,1,0,42,0,40,4,14,0,86,59,41,134,18,81,0,3,142
A01_4,130,100,2,90,0,9,115,8,39,65,1,4,309,182,4,0,308,68,134,56,5,189,301,88,252,165,8,0,36,154,183,0,1,0,58,86,0,127,75,0,206,0,0,1,0,3,2,280,1,0,0,20,0,22,149,19,297,0,264,0,0,184,85,37,28,29,8,167,1,37,176,287,2,137,23,0,9,1,274,9,164,0,0,309,2,13,16,48,13,0,309,144,69,0,116,22,0,0,0,71,3,1,43,0,106,35,29,0,136,57,92,210,15,87,2,3,260
A01_5,111,99,1,47,0,7,121,16,45,54,0,4,265,135,4,0,265,75,122,49,2,174,261,57,204,116,14,1,46,133,151,0,1,0,58,55,0,124,95,0,174,0,0,1,1,8,2,239,3,0,0,42,1,21,108,19,236,1,218,0,0,132,74,34,27,30,11,149,6,43,160,245,1,110,28,1,28,6,229,10,145,0,1,265,2,16,15,23,17,0,264,108,63,0,82,25,0,0,2,54,1,0,34,0,86,46,23,0,113,36,62,187,19,107,0,6,211
A01_6,48,51,2,6,0,0,36,11,23,18,1,0,99,57,2,0,99,28,46,45,0,69,97,28,74,41,6,1,16,59,57,0,0,0,14,16,0,55,49,0,69,0,0,0,3,4,1,86,3,0,0,7,0,8,37,11,85,0,81,0,0,51,22,11,13,17,1,56,1,4,67,95,1,38,7,1,7,2,80,14,62,0,0,99,2,10,4,9,7,0,99,34,26,0,30,13,0,0,0,8,3,0,21,0,31,5,6,0,42,23,11,64,14,16,0,8,62
A01_7,26,39,0,0,0,2,25,0,15,11,0,16,73,0,2,0,73,51,47,2,7,50,64,14,55,41,30,2,15,33,32,26,0,0,22,2,0,37,28,0,52,0,0,0,0,2,1,67,0,0,1,13,0,6,35,0,25,0,54,0,0,7,9,15,7,0,3,33,58,10,43,64,2,38,6,0,2,0,57,3,49,5,0,73,0,2,2,2,1,0,73,0,24,0,26,3,0,0,0,8,0,0,13,0,11,9,15,0,36,9,14,51,7,11,1,2,56
A01_8,119,91,1,17,0,4,78,3,54,17,0,10,208,153,0,0,207,15,5,28,1,151,178,55,165,89,17,0,29,132,145,4,2,0,40,29,0,107,66,0,137,0,0,1,0,6,1,186,1,0,0,31,0,24,103,7,33,0,176,1,0,73,36,32,23,109,18,131,122,21,145,184,6,71,13,22,7,56,178,20,132,0,0,208,8,4,24,10,179,0,208,35,57,0,58,19,0,0,0,37,1,0,29,0,72,28,8,0,108,34,70,137,16,25,1,3,137
A01_9,7,4,0,1,0,1,9,1,0,4,0,0,11,4,0,0,11,4,7,2,0,9,11,4,8,2,2,0,2,6,9,0,0,0,3,4,0,5,5,0,9,0,0,0,0,1,0,8,0,0,0,2,0,2,2,1,10,0,9,0,0,7,3,1,4,1,0,5,2,0,10,11,0,5,0,0,0,0,11,2,6,0,0,11,0,0,0,1,4,0,11,3,3,0,5,2,0,0,0,3,0,0,0,0,8,1,1,0,4,1,1,9,0,3,0,0,10
A02_1,220,177,4,0,12,17,263,0,57,101,2,9,545,282,11,0,545,153,283,0,5,336,528,120,428,234,27,4,100,225,306,5,1,16,113,125,18,277,166,0,325,87,7,37,1,13,4,480,0,3,4,91,15,32,240,0,473,81,427,107,11,278,171,76,66,56,25,300,4,89,296,496,8,230,61,4,20,6,467,9,242,1,25,545,2,48,25,0,51,0,544,196,130,100,175,35,1,0,2,117,6,6,45,20,214,59,66,3,227,75,144,357,8,0,2,2,482
A02_2,188,166,2,1,2,9,138,0,80,75,3,2,375,210,2,1,374,88,165,0,2,261,364,94,314,203,25,2,50,205,237,3,0,45,77,56,38,163,134,0,271,56,1,7,1,8,8,339,4,0,0,22,2,37,170,0,324,45,328,49,2,185,90,50,36,62,9,236,1,40,258,356,1,129,24,7,16,10,321,31,220,0,28,375,5,14,27,1,37,1,375,135,93,64,126,31,17,1,0,64,2,3,64,11,101,16,30,2,172,138,92,274,43,0,1,6,265
A02_3,70,66,2,0,1,2,60,0,29,32,0,3,150,81,1,0,150,36,75,1,2,94,147,41,126,69,4,0,20,84,86,2,0,9,34,29,17,51,64,0,114,48,2,2,0,4,1,137,2,0,0,7,1,12,73,0,132,1,130,23,2,85,30,24,13,18,3,84,0,10,97,142,1,62,9,0,4,3,135,7,95,0,10,150,0,7,0,0,10,0,150,52,37,20,48,13,2,1,0,28,4,5,16,6,63,23,14,1,71,44,29,108,11,0,0,1,114
A02_4,130,104,0,0,0,2,71,0,42,62,1,1,292,188,2,0,291,52,95,1,0,188,287,74,244,194,11,0,38,160,195,0,0,6,52,56,29,134,97,0,201,90,3,5,0,8,1,267,4,0,0,5,12,22,149,0,264,44,249,47,0,166,71,39,25,49,10,174,0,35,199,277,1,110,22,3,11,12,258,15,169,0,17,292,5,7,24,0,31,0,291,135,82,26,95,26,1,1,1,73,2,7,67,4,63,18,22,1,146,83,80,205,28,0,0,2,234
A02_5,60,56,0,0,0,0,15,0,29,18,0,0,101,66,0,0,101,10,12,0,0,67,98,19,83,58,7,0,23,64,75,1,2,11,25,17,11,27,52,2,71,19,2,2,4,6,3,95,1,0,0,1,3,11,43,0,91,6,88,19,0,54,23,10,7,32,2,58,1,6,79,97,0,37,4,3,13,3,87,10,61,0,7,101,5,1,12,0,12,0,101,53,30,8,26,11,2,0,0,20,0,4,40,4,12,7,4,1,46,50,19,73,22,0,1,10,63
A02_6,44,38,2,0,0,0,18,0,24,15,0,2,73,56,2,0,73,7,13,0,0,49,69,14,56,32,4,0,9,51,51,1,0,11,10,16,6,29,31,1,52,8,0,2,2,5,0,66,3,0,0,2,5,8,33,0,33,0,64,16,0,34,11,7,7,21,2,42,0,7,57,71,1,26,4,3,32,5,61,15,53,0,3,73,1,2,11,0,10,0,73,33,17,0,20,11,3,11,0,12,0,2,17,4,16,15,2,1,37,11,16,58,13,0,0,10,34
A02_7,178,154,0,0,15,8,152,0,58,61,0,35,356,192,3,3,356,88,89,1,13,246,319,86,291,154,54,14,48,198,219,29,1,1,79,64,1,159,116,1,236,1,1,123,0,7,1,317,1,0,0,65,0,28,157,1,96,1,289,6,58,143,76,49,43,86,31,211,0,47,231,314,9,143,31,15,23,47,304,21,229,4,122,356,7,8,29,0,156,0,356,107,107,3,104,25,0,3,0,64,2,0,54,21,123,55,35,2,176,43,108,246,16,4,1,5,284
A03_1,886,758,10,292,30,37,713,73,318,362,6,51,0,1067,21,4,1882,434,729,375,22,1235,1806,445,1535,939,131,20,285,982,1164,40,4,99,387,362,119,836,656,4,1263,309,16,177,8,51,18,1695,15,3,4,192,38,150,861,101,1409,178,1567,265,73,941,469,254,194,322,81,1099,356,232,1210,1746,20,734,154,34,119,85,1625,106,1064,5,208,1884,25,87,126,150,304,1,1882,709,494,220,590,151,26,17,3,376,16,27,300,69,589,192,171,11,871,443,487,1315,141,545,5,36,1468
A03_2,886,758,10,292,30,37,713,73,318,362,6,51,1884,1067,21,4,1882,434,729,375,22,1235,1806,445,1535,939,131,20,285,982,1164,40,4,99,387,362,119,836,656,4,1263,309,16,177,8,51,18,1695,15,3,4,192,38,150,861,101,1409,178,1567,265,73,941,469,254,194,322,81,1099,356,232,1210,1746,20,734,154,34,119,85,1625,106,1064,5,208,0,25,87,126,150,304,1,1882,709,494,220,590,151,26,17,3,376,16,27,300,69,589,192,171,11,871,443,487,1315,141,545,5,36,1468
A04_1,24,16,0,1,1,4,25,2,8,5,0,0,51,23,1,3,51,16,4,2,21,35,17,10,36,25,10,4,12,21,21,22,0,0,12,0,0,0,9,0,32,4,0,11,0,1,0,48,0,0,1,7,0,0,24,0,15,0,35,4,16,13,16,6,4,6,3,23,35,8,22,44,0,28,8,13,1,15,43,3,22,2,10,51,0,3,3,3,18,0,51,4,17,0,16,4,0,1,0,15,0,1,2,2,17,0,9,0,25,0,20,29,4,9,1,0,42
A04_2,76,66,1,18,0,4,97,15,36,19,2,0,192,113,3,0,192,29,38,16,1,113,187,47,147,74,14,2,28,97,87,7,1,5,50,0,3,0,61,0,126,35,0,36,1,4,0,166,0,1,0,32,3,17,79,7,115,4,150,46,9,93,49,25,27,45,4,95,55,28,99,183,2,91,16,2,26,8,163,12,117,0,28,192,0,11,17,23,45,1,192,95,50,3,73,17,1,6,0,42,1,3,17,9,73,0,19,1,79,0,41,124,14,59,0,2,146
A04_3,173,136,0,56,7,12,145,16,48,82,0,0,362,253,3,0,362,50,79,56,0,220,353,88,303,166,21,5,38,181,234,1,0,16,61,0,17,0,122,1,233,86,2,51,0,9,5,322,1,1,0,42,15,27,170,17,280,30,311,55,2,212,97,53,43,82,19,223,64,42,225,329,3,131,36,6,25,10,318,18,209,0,29,362,6,18,27,29,64,0,362,190,89,24,114,32,4,4,0,80,3,4,47,12,133,0,30,4,160,0,92,242,21,125,0,2,297
A04_4,388,340,7,134,19,12,313,29,146,168,2,0,836,441,9,1,835,235,402,163,0,564,815,195,676,417,61,8,128,432,520,8,2,55,163,0,42,0,300,2,566,127,10,68,5,22,6,759,7,1,3,90,18,78,390,27,626,85,685,124,37,399,204,118,77,124,35,495,159,104,546,781,10,321,69,10,43,41,716,45,471,2,107,836,9,42,50,51,132,0,835,261,209,82,247,66,10,4,2,162,5,11,128,32,264,0,81,5,373,0,220,592,57,277,4,14,647
A04_5,225,200,2,83,3,5,133,11,80,88,2,0,443,237,5,0,442,104,206,138,0,303,434,105,373,257,25,1,79,251,302,2,1,23,101,0,57,0,164,1,306,57,4,11,2,15,7,400,7,0,0,21,2,28,198,50,373,59,386,36,9,224,103,52,43,65,20,263,43,50,318,409,5,163,25,3,24,11,385,28,245,1,34,443,10,13,29,44,45,0,442,159,129,111,140,32,11,2,1,77,7,8,106,14,102,0,32,1,234,0,114,328,45,75,0,18,336
A05_1,193,168,3,52,15,6,247,7,57,28,1,16,434,0,10,2,434,0,287,88,8,280,416,112,356,165,52,7,72,205,253,19,0,28,1,50,28,235,144,0,312,68,2,15,1,8,4,389,1,3,1,83,10,30,144,10,353,38,353,75,51,203,115,56,47,25,16,248,88,60,265,405,10,179,38,0,15,3,367,18,242,3,15,434,7,24,21,36,25,0,433,100,112,37,146,27,8,1,2,73,5,7,43,27,168,29,50,4,203,104,106,297,14,153,2,8,360
A05_2,507,439,1,188,5,27,288,56,209,283,3,23,1067,0,5,0,1067,0,285,210,13,695,1017,256,871,606,50,5,140,573,672,7,4,57,5,253,69,441,372,2,714,182,10,121,3,28,7,983,12,0,1,48,25,84,570,66,786,107,902,135,0,564,270,150,89,229,50,647,192,122,694,982,9,395,80,28,82,70,927,68,618,0,153,1067,14,42,88,81,230,1,1066,479,283,137,341,85,16,13,1,220,10,12,206,27,300,113,79,4,488,237,284,747,108,282,3,16,799
A05_3,188,153,6,52,10,5,181,10,52,54,2,12,387,5,6,2,387,1,160,77,1,265,379,79,314,173,30,8,76,207,241,14,0,14,0,61,22,163,141,2,242,58,4,42,4,15,7,328,2,0,3,62,4,37,151,25,276,33,318,58,22,179,87,50,60,69,16,209,79,52,256,364,1,163,37,6,22,13,337,20,207,2,40,387,4,21,17,34,50,0,387,132,101,48,106,40,2,3,0,86,1,8,52,16,123,50,44,3,184,101,101,276,20,113,0,12,315
A06_1,826,697,9,277,27,4,653,71,297,336,6,44,1746,982,18,4,1746,405,669,356,19,1148,1677,420,1417,888,116,19,262,919,1088,35,0,95,364,329,115,781,603,4,1173,287,15,161,8,49,15,1570,14,2,3,172,34,143,799,97,1318,168,1457,245,64,888,430,237,183,296,1,1029,314,211,1118,0,20,670,139,30,111,77,1512,99,989,1,184,1746,24,80,120,142,276,1,1745,672,458,210,553,146,24,16,2,353,0,26,285,61,531,183,154,11,811,409,456,1215,136,496,4,34,1360
